Id,AddedElegiblePasses,AddedElegibleProducts,AddedElegibleResourceTypes,AddedElegibleTariffs,AddedEventCategories,AppliesToCharges,Bucket,BusinessCurrencyCode,BusinessId,BusinessName,CaneBeUsedForBookings,CaneBeUsedForEvents,CoworkerContractUniqueId,CoworkerId,CoworkerProductUniqueId,CreatedOn,CreditIndex,CustomFields,Description,ElegiblePasses,ElegibleProducts,ElegibleResourceTypes,ElegibleTariffs,EventCategories,ExpireDate,IsNew,IsUniversalCredit,LocalizationDetails,RemainingCredit,RemovedElegiblePasses,RemovedElegibleProducts,RemovedElegibleResourceTypes,RemovedElegibleTariffs,RemovedEventCategories,SystemId,TariffBookingCreditId,TariffBookingCreditName,ToStringText,TotalCredit,UniqueId,UpdatedBy,UpdatedOn,UseCreditPrice,ValidFrom
1420340283,,,,,,False,active,GBP,1421021016,Explore 2.0,True,False,,1423831562,,2026-08-27T08:39:03.2140346Z,1,,,[],[],[],[],[],2027-02-07T00:00:00Z,False,False,,150.03,,,,,,,,,#1420340283,150.03,4c2c7300-7542-4358-9760-3873e74439b9,matheus+explore@nexudus.com,2026-08-27T08:39:03.2140346Z,False,2026-10-13T00:00:00Z
1420340381,,,,,,False,active,GBP,1421021016,Explore 2.0,True,False,,1423831563,,2026-08-27T08:39:03.7862846Z,2,,,[],[],[],[],[],2027-05-27T00:00:00Z,False,False,,43.79,,,,,,,,,#1420340381,43.79,fec7d9ae-a327-4605-954b-9f55c4dc8f7a,matheus+explore@nexudus.com,2026-08-27T08:39:03.7862846Z,False,2027-04-13T00:00:00Z
1420340284,,,,,,False,active,GBP,1421021016,Explore 2.0,True,False,,1423831557,,2026-08-27T08:39:04.4179049Z,3,,,[],[],[],[],[],2027-01-31T00:00:00Z,False,False,,128.88,,,,,,,,,#1420340284,128.88,fa7cd91f-3671-4247-a4a5-a7561b186e94,matheus+explore@nexudus.com,2026-08-27T08:39:04.4179049Z,False,2026-09-04T00:00:00Z
1420340285,,,,,,False,active,GBP,1421021016,Explore 2.0,True,False,,1423831567,,2026-08-27T08:39:04.913353Z,4,,,[],[],[],[],[],2027-03-28T00:00:00Z,False,False,,67.46,,,,,,,,,#1420340285,67.46,7f07417b-b6c0-4b7b-9ed5-2fcbf0e84de4,matheus+explore@nexudus.com,2026-08-27T08:39:04.913353Z,False,2027-02-21T00:00:00Z
1420340382,,,,,,False,active,GBP,1421021016,Explore 2.0,True,False,,1423831551,,2026-08-27T08:39:05.4119475Z,5,,,[],[],[],[],[],2027-07-10T00:00:00Z,False,False,,183.42,,,,,,,,,#1420340382,183.42,ceecdf50-e3db-4041-92c9-52c9f9348ed9,matheus+explore@nexudus.com,2026-08-27T08:39:05.4119475Z,False,2027-05-28T00:00:00Z
1420340286,,,,,,False,active,GBP,1421021016,Explore 2.0,True,False,,1423831764,,2026-08-27T08:39:05.9453406Z,6,,,[],[],[],[],[],2027-06-04T00:00:00Z,False,False,,107.73,,,,,,,,,#1420340286,107.73,c86d2014-b8b7-4684-8695-2002eebd3e15,matheus+explore@nexudus.com,2026-08-27T08:39:05.9453406Z,False,2026-12-27T00:00:00Z
1420340287,,,,,,False,active,GBP,1421021016,Explore 2.0,True,False,,1423831744,,2026-08-27T08:39:06.3828365Z,7,,,[],[],[],[],[],2027-08-07T00:00:00Z,False,False,,106.93,,,,,,,,,#1420340287,106.93,6d5d6a70-96db-4625-80ac-46a7e430b91a,matheus+explore@nexudus.com,2026-08-27T08:39:06.3828365Z,False,2027-06-28T00:00:00Z
1420340288,,,,,,False,active,GBP,1421021016,Explore 2.0,True,False,,1423831566,,2026-08-27T08:39:06.8991422Z,8,,,[],[],[],[],[],2027-08-27T00:00:00Z,False,False,,50.27,,,,,,,,,#1420340288,50.27,b685c458-6241-4e02-82b6-70edcdb03c8f,matheus+explore@nexudus.com,2026-08-27T08:39:06.8991422Z,False,2027-06-28T00:00:00Z
1420340289,,,,,,False,active,GBP,1421021016,Explore 2.0,True,False,,1423831757,,2026-08-27T08:39:08.6654309Z,9,,,[],[],[],[],[],2026-12-12T00:00:00Z,False,False,,117.35,,,,,,,,,#1420340289,117.35,d06c779c-a3a3-4ed1-84fc-bb04e0dc2989,matheus+explore@nexudus.com,2026-08-27T08:39:08.6654309Z,False,2026-06-04T00:00:00Z
1420340290,,,,,,False,active,GBP,1421021016,Explore 2.0,True,False,,1423831768,,2026-08-27T08:39:09.447403Z,10,,,[],[],[],[],[],2027-03-19T00:00:00Z,False,False,,175.82,,,,,,,,,#1420340290,175.82,524a2cc2-8673-4dae-a931-c03648bc1b2c,matheus+explore@nexudus.com,2026-08-27T08:39:09.447403Z,False,2027-01-28T00:00:00Z
