Id,AddedGuests,BusinessId,CommunityGroupId,CoworkerId,CreatedOn,CustomFields,Guests,IncludeZoomInvite,InstantDelivery,IsNew,LastMessageDate,LocalizationDetails,Message,Private,RemovedGuests,Subject,SystemId,Tags,ThreadFiles,ThreadIndex,ToStringText,UniqueId,UpdatedBy,UpdatedOn,UserId
1416017293,,1421022733,1415212303,,2026-08-25T19:53:13.0945902Z,,[],False,False,False,2026-08-25T19:53:13.1102095Z,,"Would appreciate any pointers, thanks!",False,,Best time to book the meeting rooms?,,,[],1,Best time to book the meeting rooms?,4ca0d261-eb6a-4330-bd3a-0870f1083479,Olena+e2@nexudus.com,2026-08-25T19:53:13.0945902Z,1418369047
1416017294,,1421022733,1415212303,,2026-08-25T19:53:13.6258345Z,,[],False,False,False,2026-08-25T19:53:13.6258345Z,,Posting here in case it helps someone else too.,False,,Lost a black jacket in the kitchen area,,,[],2,Lost a black jacket in the kitchen area,5ecb1850-9d34-46d2-8a8d-39262d475759,Olena+e2@nexudus.com,2026-08-25T19:53:13.6258345Z,1418369047
1416017295,,1421022733,1415212303,,2026-08-25T19:53:14.1258321Z,,[],False,False,False,2026-08-25T19:53:14.141454Z,,Posting here in case it helps someone else too.,False,,Anyone know a good coffee spot nearby?,,,[],3,Anyone know a good coffee spot nearby?,965320e5-749a-472d-b364-fc46a8ea7299,Olena+e2@nexudus.com,2026-08-25T19:53:14.1258321Z,1418369047
1416017296,,1421022733,1415212303,,2026-08-25T19:53:14.5320869Z,,[],False,False,False,2026-08-25T19:53:14.5477113Z,,Happy to buy coffee for anyone who can help.,False,,Recommendations for lunch places around here,,,[],4,Recommendations for lunch places around here,9a1dac20-c11b-443e-a58e-0083cd995c59,Olena+e2@nexudus.com,2026-08-25T19:53:14.5320869Z,1418369047
1416017189,,1421022733,1415212303,,2026-08-25T19:53:15.8315472Z,,[],False,False,False,2026-08-25T19:53:15.8471772Z,,Just wondering if anyone else has run into this.,False,,Wifi's been patchy on the 2nd floor,,,[],5,Wifi's been patchy on the 2nd floor,3acf3e7e-f84e-457c-886e-95ad3cbe3ed2,Olena+e2@nexudus.com,2026-08-25T19:53:15.8315472Z,1418369047
1416017190,,1421022733,1415212303,,2026-08-25T19:53:16.3471646Z,,[],False,False,False,2026-08-25T19:53:16.3627715Z,,Just wondering if anyone else has run into this.,False,,Printer on 1st floor out of toner again,,,[],6,Printer on 1st floor out of toner again,44dea1b8-54b7-495a-8745-eaf7f5261c0f,Olena+e2@nexudus.com,2026-08-25T19:53:16.3471646Z,1418369047
1416017191,,1421022733,1415212404,,2026-08-25T19:53:16.7690153Z,,[],False,False,False,2026-08-25T19:53:16.7846457Z,,Open to suggestions from anyone in the space.,False,,Freelancers — want to grab coffee and swap notes?,,,[],7,Freelancers — want to grab coffee and swap notes?,134e50ad-7c0d-4e30-899e-5dae5a4a6842,Olena+e2@nexudus.com,2026-08-25T19:53:16.7690153Z,1418369047
1416017297,,1421022733,1415212404,,2026-08-25T19:53:17.1427457Z,,[],False,False,False,2026-08-25T19:53:17.1583692Z,,Open to suggestions from anyone in the space.,False,,Looking for a UX designer to collaborate with,,,[],8,Looking for a UX designer to collaborate with,cfdb1460-b93d-4c03-a196-428b1aa41143,Olena+e2@nexudus.com,2026-08-25T19:53:17.1427457Z,1418369047
1416017192,,1421022733,1415212404,,2026-08-25T19:53:17.6922369Z,,[],False,False,False,2026-08-25T19:53:17.6922369Z,,Happy to buy coffee for anyone who can help.,False,,Looking for a co-founder for a side project,,,[],9,Looking for a co-founder for a side project,13957b33-ccfd-47d3-b365-d65a58bd7e74,Olena+e2@nexudus.com,2026-08-25T19:53:17.6922369Z,1418369047
1416017298,,1421022733,1415212404,,2026-08-25T19:53:18.1284446Z,,[],False,False,False,2026-08-25T19:53:18.1440895Z,,Just wondering if anyone else has run into this.,False,,Any developers interested in a weekend hackathon?,,,[],10,Any developers interested in a weekend hackathon?,d855b7ca-f7a9-443a-a9ab-556b84e0c76d,Olena+e2@nexudus.com,2026-08-25T19:53:18.1284446Z,1418369047
1416017193,,1421022733,1415212404,,2026-08-25T19:53:18.5984825Z,,[],False,False,False,2026-08-25T19:53:18.61411Z,,Open to suggestions from anyone in the space.,False,,Anyone else working in fintech?,,,[],11,Anyone else working in fintech?,ffa8e2f7-a7ea-455c-a33b-55e4a505d4a7,Olena+e2@nexudus.com,2026-08-25T19:53:18.5984825Z,1418369047
1416017299,,1421022733,1415212304,,2026-08-25T19:53:19.0034646Z,,[],False,False,False,2026-08-25T19:53:19.0190953Z,,Open to suggestions from anyone in the space.,False,,New meeting room booking system live now,,,[],12,New meeting room booking system live now,1896c8ea-d91e-4f9d-9e53-d0431b8d743f,Olena+e2@nexudus.com,2026-08-25T19:53:19.0034646Z,1418369047
1416017194,,1421022733,1415212304,,2026-08-25T19:53:19.412279Z,,[],False,False,False,2026-08-25T19:53:19.4279204Z,,Just wondering if anyone else has run into this.,False,,Reminder: annual member survey closes Friday,,,[],13,Reminder: annual member survey closes Friday,094634c3-3b07-4eb1-8269-9fb3dde88ca3,Olena+e2@nexudus.com,2026-08-25T19:53:19.412279Z,1418369047
1416017195,,1421022733,1415212304,,2026-08-25T19:53:19.9123096Z,,[],False,False,False,2026-08-25T19:53:19.9591979Z,,Happy to buy coffee for anyone who can help.,False,,Building maintenance this Saturday morning,,,[],14,Building maintenance this Saturday morning,2f6e69e7-bbd0-446f-8f3a-6591161ea1b0,Olena+e2@nexudus.com,2026-08-25T19:53:19.9123096Z,1418369047
1416017196,,1421022733,1415212304,,2026-08-25T19:53:20.3185721Z,,[],False,False,False,2026-08-25T19:53:20.3185721Z,,Just wondering if anyone else has run into this.,False,,Kitchen will be closed for cleaning Monday AM,,,[],15,Kitchen will be closed for cleaning Monday AM,f2c21d58-dc37-44d5-8e2c-0c79e23a37d2,Olena+e2@nexudus.com,2026-08-25T19:53:20.3185721Z,1418369047
