Id,ActivateAccount,AddedProducts,AddedResources,Board,Bookings,Cancellations,CannedResponseId,ConfirmTour,ContactMessages,CreatedOn,CrmBoardBusinessCurrencyCode,CrmBoardBusinessCurrencyId,CrmBoardBusinessId,CrmBoardBusinessName,CrmBoardId,CrmBoardName,CustomFields,DeactivateAccount,DeleteAccount,DocumentsSigned,DueCount,EventCheckins,EventRegistrations,IsNew,LocalizationDetails,LoseOpportunity,Name,OpportunitiesCount,OpportunitiesValue,Position,ProductPurchased,Products,ProposalsAccepted,ProposalsSent,RemovedProducts,RemovedResources,ResourceBooked,Resources,SignUps,SystemId,TaskListId,ToStringText,TourCompleted,TourRequests,ToursConfirmed,UniqueId,UpdatedBy,UpdatedOn,UseTaskListAsResponsible,WinOpportunity
1415351077,False,,,New Business,False,False,,False,False,2026-08-27T08:29:03.5830361Z,GBP,3005,1421021016,Explore 2.0,1415335422,New Business,,False,False,False,0,False,False,False,,False,Lead,0,0.0,1,False,[],False,False,,,False,[],False,,,New Business - Lead,False,False,False,129265ee-4757-4760-ba1b-e1b98f4b5640,matheus+explore@nexudus.com,2026-08-27T08:29:03.5830361Z,False,False
1415351078,False,,,New Business,False,False,,False,False,2026-08-27T08:29:04.0361845Z,GBP,3005,1421021016,Explore 2.0,1415335422,New Business,,False,False,False,0,False,False,False,,False,Qualified,0,0.0,100,False,[],False,False,,,False,[],False,,,New Business - Qualified,False,False,False,5ca6458e-9416-41a4-b86c-9282e9c55ce5,matheus+explore@nexudus.com,2026-08-27T08:29:04.0361845Z,False,False
1415351079,False,,,New Business,False,False,,False,False,2026-08-27T08:29:04.4893113Z,GBP,3005,1421021016,Explore 2.0,1415335422,New Business,,False,False,False,0,False,False,False,,False,Proposal Sent,0,0.0,200,False,[],False,False,,,False,[],False,,,New Business - Proposal Sent,False,False,False,ca388596-69e6-4beb-b24f-69986b89c571,matheus+explore@nexudus.com,2026-08-27T08:29:04.4893113Z,False,False
1415351080,False,,,New Business,False,False,,False,False,2026-08-27T08:29:04.9424703Z,GBP,3005,1421021016,Explore 2.0,1415335422,New Business,,False,False,False,0,False,False,False,,False,Won,0,0.0,300,False,[],False,False,,,False,[],False,,,New Business - Won,False,False,False,e06c3949-1167-4210-b051-5b123d22bdec,matheus+explore@nexudus.com,2026-08-27T08:29:04.9424703Z,False,True
1415351081,False,,,New Business,False,False,,False,False,2026-08-27T08:29:05.521949Z,GBP,3005,1421021016,Explore 2.0,1415335422,New Business,,False,False,False,0,False,False,False,,True,Lost,0,0.0,400,False,[],False,False,,,False,[],False,,,New Business - Lost,False,False,False,edfe627c-0d43-4111-b8dc-d7d1b14d6516,matheus+explore@nexudus.com,2026-08-27T08:29:05.521949Z,False,False
1415351178,False,,,Expansion,False,False,,False,False,2026-08-27T08:29:06.6210455Z,GBP,3005,1421021016,Explore 2.0,1415335523,Expansion,,False,False,False,0,False,False,False,,False,Upsell Lead,0,0.0,1,False,[],False,False,,,False,[],False,,,Expansion - Upsell Lead,False,False,False,cd19ffa3-6660-4dde-9752-79513889fdee,matheus+explore@nexudus.com,2026-08-27T08:29:06.6210455Z,False,False
1415351082,False,,,Expansion,False,False,,False,False,2026-08-27T08:29:07.2563288Z,GBP,3005,1421021016,Explore 2.0,1415335523,Expansion,,False,False,False,0,False,False,False,,False,Negotiation,0,0.0,100,False,[],False,False,,,False,[],False,,,Expansion - Negotiation,False,False,False,9a4e256f-1ad9-478e-a14f-07178412b62c,matheus+explore@nexudus.com,2026-08-27T08:29:07.2563288Z,False,False
1415351179,False,,,Expansion,False,False,,False,False,2026-08-27T08:29:07.9193341Z,GBP,3005,1421021016,Explore 2.0,1415335523,Expansion,,False,False,False,0,False,False,False,,False,Proposal Sent,0,0.0,200,False,[],False,False,,,False,[],False,,,Expansion - Proposal Sent,False,False,False,b0dbeeff-5662-4540-8722-153480f57342,matheus+explore@nexudus.com,2026-08-27T08:29:07.9193341Z,False,False
1415351180,False,,,Expansion,False,False,,False,False,2026-08-27T08:29:08.60685Z,GBP,3005,1421021016,Explore 2.0,1415335523,Expansion,,False,False,False,0,False,False,False,,False,Won,0,0.0,300,False,[],False,False,,,False,[],False,,,Expansion - Won,False,False,False,a8b095a4-1cc6-4c41-87fa-c98735976e1f,matheus+explore@nexudus.com,2026-08-27T08:29:08.60685Z,False,True
1415351083,False,,,Expansion,False,False,,False,False,2026-08-27T08:29:09.2107747Z,GBP,3005,1421021016,Explore 2.0,1415335523,Expansion,,False,False,False,0,False,False,False,,True,Lost,0,0.0,400,False,[],False,False,,,False,[],False,,,Expansion - Lost,False,False,False,bef13e77-cf15-4359-87eb-1760b3577b36,matheus+explore@nexudus.com,2026-08-27T08:29:09.2107747Z,False,False
