Id,AccessControlGroupId,AddedBookingAvailabilityExceptions,AddedLinkedResources,AddedTariffs,AddedTeams,AirConditioning,Allocation,AllowMultipleBookings,Archived,BookInAdvanceLimit,BookingAvailabilityExceptions,BusinessId,BusinessName,CCTV,CancellationFeeAmount,CancellationFeePercentage,CancellationFeeProductId,CancellationFeeProductName,CancellationFeeType,Catering,ChargeCancellationFee,ClearPictureFile,ConferencePhone,CreatedOn,CustomFields,Description,DesktopMonitor,DisplayOrder,DisplayScreen,Drinks,DualDisplayScreen,EmailConfirmationContent,FlipChart,GoogleCalendarId,GroupName,Heating,HideInCalendar,HighBits,Internet,IntervalLimit,IsNew,IsSensorOccupied,KisiGroupId,LargeDisplay,LastCleanedAt,LateBookingLimit,LateCancellationLimit,Latitude,LimitVisitorsToAllocation,LinkedResourceIds,LinkedResources,LocalizationDetails,Longitude,LowBits,MaxBookingLength,MinBookingLength,Name,NaturalLight,NewPictureUrl,NoReturnPolicy,NoReturnPolicyAllResources,NoReturnPolicyAllUsers,Office365CalendarId,OnlyForContacts,OnlyForInvoicingBusiness,OnlyForMembers,PaSystem,PictureFileName,PrivacyScreen,Projector,QuietZone,RemovedBookingAvailabilityExceptions,RemovedLinkedResources,RemovedTariffs,RemovedTeams,RepeatBookingPeriodLimitInMonths,RepeatBookingQuantityLimit,RequiresConfirmation,ResourceTypeId,ResourceTypeName,SecureStorage,SecurityLock,SensorLastValue,ShiftList,Shifts,Soundproof,StandardPhone,StandingDesk,SystemId,SystemResourceType,Tariffs,TeaAndCoffee,Teams,Timeslots,ToStringText,UniqueId,UpdatedBy,UpdatedOn,UseSharedZoomAccount,VideoConferencing,Visible,VoiceRecorder,WhiteBoard,WirelessCharger,WirelessPresentation,ZoomUserId
1415381595,,,,,,False,,False,False,,[],1421022733,MAIN_E2 (PARENT Location),False,,,,,1,False,False,False,False,2026-08-25T19:11:26.5334158Z,,,False,1,False,False,False,,False,,,False,False,21597,False,,False,False,,False,,,,0.0,False,,[],,0.0,603,,,Boardroom Alpha,False,,,,,,False,False,False,False,,False,False,False,,,,,,,False,1415379774,Meeting Room,False,False,,[],,False,False,False,,1,[],False,[],[],Boardroom Alpha,e1749bff-ad50-4827-b1cb-ec6e47478e6a,Olena+e2@nexudus.com,2026-08-25T19:11:26.5334158Z,False,False,False,False,False,False,False,
1415381596,,,,,,False,,False,False,,[],1421022733,MAIN_E2 (PARENT Location),False,,,,,1,False,False,False,False,2026-08-25T19:11:26.9716251Z,,,False,2,False,False,False,,False,,,False,False,21597,False,,False,False,,False,,,,0.0,False,,[],,0.0,604,,,Meeting Room Beta,False,,,,,,False,False,False,False,,False,False,False,,,,,,,False,1415379774,Meeting Room,False,False,,[],,False,False,False,,1,[],False,[],[],Meeting Room Beta,ef1abceb-a378-410b-9ff9-efef03569f37,Olena+e2@nexudus.com,2026-08-25T19:11:26.9716251Z,False,False,False,False,False,False,False,
1415381597,,,,,,False,,False,False,,[],1421022733,MAIN_E2 (PARENT Location),False,,,,,1,False,False,False,False,2026-08-25T19:11:27.4716611Z,,,False,3,False,False,False,,False,,,False,False,21597,False,,False,False,,False,,,,0.0,False,,[],,0.0,605,,,Meeting Room Gamma,False,,,,,,False,False,False,False,,False,False,False,,,,,,,False,1415379774,Meeting Room,False,False,,[],,False,False,False,,1,[],False,[],[],Meeting Room Gamma,0b77265c-dcae-4b9b-b53b-581e6a8f36d2,Olena+e2@nexudus.com,2026-08-25T19:11:27.4716611Z,False,False,False,False,False,False,False,
1415381598,,,,,,False,,False,False,,[],1421022733,MAIN_E2 (PARENT Location),False,,,,,1,False,False,False,False,2026-08-25T19:11:27.8622576Z,,,False,4,False,False,False,,False,,,False,False,21597,False,,False,False,,False,,,,0.0,False,,[],,0.0,606,,,Meeting Room Delta,False,,,,,,False,False,False,False,,False,False,False,,,,,,,False,1415379774,Meeting Room,False,False,,[],,False,False,False,,1,[],False,[],[],Meeting Room Delta,75428a9c-2c19-4580-9b67-95f79b7503bc,Olena+e2@nexudus.com,2026-08-25T19:11:27.8622576Z,False,False,False,False,False,False,False,
1415381599,,,,,,False,,False,False,,[],1421022733,MAIN_E2 (PARENT Location),False,,,,,1,False,False,False,False,2026-08-25T19:11:28.2372577Z,,,False,5,False,False,False,,False,,,False,False,21597,False,,False,False,,False,,,,0.0,False,,[],,0.0,607,,,Meeting Room Epsilon,False,,,,,,False,False,False,False,,False,False,False,,,,,,,False,1415379774,Meeting Room,False,False,,[],,False,False,False,,1,[],False,[],[],Meeting Room Epsilon,36972263-697f-439c-9c19-8e85dd5387c2,Olena+e2@nexudus.com,2026-08-25T19:11:28.2372577Z,False,False,False,False,False,False,False,
1415381692,,,,,,False,,False,False,,[],1421022733,MAIN_E2 (PARENT Location),False,,,,,1,False,False,False,False,2026-08-25T19:11:28.6095418Z,,,False,6,False,False,False,,False,,,False,False,21597,False,,False,False,,False,,,,0.0,False,,[],,0.0,700,,,Meeting Room Zeta,False,,,,,,False,False,False,False,,False,False,False,,,,,,,False,1415379774,Meeting Room,False,False,,[],,False,False,False,,1,[],False,[],[],Meeting Room Zeta,7262acc1-985a-4f48-b6a3-2060f5870e54,Olena+e2@nexudus.com,2026-08-25T19:11:28.6095418Z,False,False,False,False,False,False,False,
1415381693,,,,,,False,,False,False,,[],1421022733,MAIN_E2 (PARENT Location),False,,,,,1,False,False,False,False,2026-08-25T19:11:29.0314047Z,,,False,7,False,False,False,,False,,,False,False,21597,False,,False,False,,False,,,,0.0,False,,[],,0.0,701,,,Hot Desk Area A,False,,,,,,False,False,False,False,,False,False,False,,,,,,,False,1415379775,Hot Desk,False,False,,[],,False,False,False,,2,[],False,[],[],Hot Desk Area A,3e46da76-86a5-4a01-bf19-3902dd14cf73,Olena+e2@nexudus.com,2026-08-25T19:11:29.0314047Z,False,False,False,False,False,False,False,
1415381600,,,,,,False,,False,False,,[],1421022733,MAIN_E2 (PARENT Location),False,,,,,1,False,False,False,False,2026-08-25T19:11:29.4729471Z,,,False,8,False,False,False,,False,,,False,False,21597,False,,False,False,,False,,,,0.0,False,,[],,0.0,608,,,Hot Desk Area B,False,,,,,,False,False,False,False,,False,False,False,,,,,,,False,1415379775,Hot Desk,False,False,,[],,False,False,False,,2,[],False,[],[],Hot Desk Area B,b9118822-5bda-467b-af55-19d2c15ae22f,Olena+e2@nexudus.com,2026-08-25T19:11:29.4729471Z,False,False,False,False,False,False,False,
1415381694,,,,,,False,,False,False,,[],1421022733,MAIN_E2 (PARENT Location),False,,,,,1,False,False,False,False,2026-08-25T19:11:29.7970656Z,,,False,9,False,False,False,,False,,,False,False,21597,False,,False,False,,False,,,,0.0,False,,[],,0.0,702,,,Hot Desk Area C,False,,,,,,False,False,False,False,,False,False,False,,,,,,,False,1415379775,Hot Desk,False,False,,[],,False,False,False,,2,[],False,[],[],Hot Desk Area C,475dbca5-b682-4213-bab3-13735d88eb08,Olena+e2@nexudus.com,2026-08-25T19:11:29.7970656Z,False,False,False,False,False,False,False,
1415381695,,,,,,False,,False,False,,[],1421022733,MAIN_E2 (PARENT Location),False,,,,,1,False,False,False,False,2026-08-25T19:11:30.2039354Z,,,False,10,False,False,False,,False,,,False,False,21597,False,,False,False,,False,,,,0.0,False,,[],,0.0,703,,,Hot Desk Area D,False,,,,,,False,False,False,False,,False,False,False,,,,,,,False,1415379775,Hot Desk,False,False,,[],,False,False,False,,2,[],False,[],[],Hot Desk Area D,898a7aa3-6a49-4a70-9797-66c439d67359,Olena+e2@nexudus.com,2026-08-25T19:11:30.2039354Z,False,False,False,False,False,False,False,
