Id,AddedTariffs,AllowNegativeStock,ApplyProRating,Archived,AvailableAs,AvailableToAi,BusinessId,BusinessName,ClearImageFile,CreateDeliveryWhenPurchased,CreatedOn,CurrencyCode,CurrencyId,CurrentStock,CustomFields,Description,DisplayOrder,ExemptTaxRateId,FinancialAccountId,ImageFileName,InvoiceCoworker,InvoiceLineDisplayAs,IsNew,LocalizationDetails,Name,NewImageUrl,NotesForAi,OnlyForContacts,OnlyForMembers,Price,PriceForAi,ReducedTaxRateId,RemovedTariffs,ShowPriceForAi,Sku,Starred,StockAlertLevel,SyncToNexKiosk,SyncToSquare,SystemId,SystemProductType,Tags,Tariffs,TaxRateId,ToStringText,TrackStock,UniqueId,UpdatedBy,UpdatedOn,Visible,VisibleInKiosk
1415478540,,False,False,False,3,False,1421021016,Explore 2.0,False,False,2026-08-27T08:24:44.9983802Z,GBP,3005,,,Tea/coffee service for bookings,1,,1415060804,,False,,False,,Catering - Tea/Coffee,,,False,False,5.0,,,,False,,False,,False,False,,10,,[],1415140492,Catering - Tea/Coffee (5.00 GBP),False,f0bfa267-81de-4d58-9fdc-abd5cad3a4d4,matheus+explore@nexudus.com,2026-08-27T08:24:44.9983802Z,False,False
1415478640,,False,False,False,3,False,1421021016,Explore 2.0,False,False,2026-08-27T08:24:45.6675793Z,GBP,3005,,,Lunch catering for bookings,2,,1415060804,,False,,False,,Catering - Lunch,,,False,False,15.0,,,,False,,False,,False,False,,10,,[],1415140492,Catering - Lunch (15.00 GBP),False,f586cd4d-87ea-4e4f-9eee-1a9c985cc350,matheus+explore@nexudus.com,2026-08-27T08:24:45.6675793Z,False,False
1415478541,,False,False,False,3,False,1421021016,Explore 2.0,False,False,2026-08-27T08:24:46.305435Z,GBP,3005,,,Audio-visual equipment hire,3,,1415060804,,False,,False,,AV Equipment,,,False,False,25.0,,,,False,,False,,False,False,,5,,[],1415140492,AV Equipment (25.00 GBP),False,ff632f14-9435-4ddb-9e52-8c7a1196e543,matheus+explore@nexudus.com,2026-08-27T08:24:46.305435Z,False,False
1415478641,,False,False,False,2,False,1421021016,Explore 2.0,False,False,2026-08-27T08:24:46.9495506Z,GBP,3005,,,Monthly locker rental,4,,1415060804,,False,,False,,Storage Locker,,,False,False,30.0,,,,False,,False,,False,False,,6,,[],1415140492,Storage Locker (30.00 GBP),False,96e152fc-99cb-4030-b645-537b5ace0d8f,matheus+explore@nexudus.com,2026-08-27T08:24:46.9495506Z,False,False
1415478642,,False,False,False,2,False,1421021016,Explore 2.0,False,False,2026-08-27T08:24:47.4658405Z,GBP,3005,,,Monthly parking space,5,,1415060804,,False,,False,,Parking Space,,,False,False,75.0,,,,False,,False,,False,False,,99,,[],1415140492,Parking Space (75.00 GBP),False,155b6607-9f3e-4fdd-b392-0e8376a69d3d,matheus+explore@nexudus.com,2026-08-27T08:24:47.4658405Z,False,False
1415478542,,False,False,False,2,False,1421021016,Explore 2.0,False,False,2026-08-27T08:24:47.9977928Z,GBP,3005,,,Mail forwarding and handling,6,,1415060804,,False,,False,,Mail Handling,,,False,False,20.0,,,,False,,False,,False,False,,99,,[],1415143018,Mail Handling (20.00 GBP),False,c8f037cc-d534-47a0-bd15-8f57e5a1c838,matheus+explore@nexudus.com,2026-08-27T08:24:47.9977928Z,False,False
1415478543,,False,False,False,3,False,1421021016,Explore 2.0,False,False,2026-08-27T08:24:48.5290337Z,GBP,3005,,,Bundle of 5 day passes,7,,1415060702,,False,,False,,Day Pass (5-pack),,,False,False,120.0,,,,False,,False,,False,False,,1,,[],1415140492,Day Pass (5-pack) (120.00 GBP),False,bdaa00a2-465a-4a55-9dd2-33bc67c37b4f,matheus+explore@nexudus.com,2026-08-27T08:24:48.5290337Z,False,False
1415478544,,False,False,False,3,False,1421021016,Explore 2.0,False,False,2026-08-27T08:24:49.154062Z,GBP,3005,,,£50 booking credit,8,,1415063631,,False,,False,,Credit Bundle £50,,,False,False,50.0,,,,False,,False,,False,False,,2,,[],1415140492,Credit Bundle £50 (50.00 GBP),False,5e194abf-b77f-4990-aa18-f2e3b783dd28,matheus+explore@nexudus.com,2026-08-27T08:24:49.154062Z,False,False
1415478545,,False,False,False,3,False,1421021016,Explore 2.0,False,False,2026-08-27T08:24:49.8775157Z,GBP,3005,,,£200 booking credit,9,,1415063631,,False,,False,,Credit Bundle £200,,,False,False,200.0,,,,False,,False,,False,False,,2,,[],1415140492,Credit Bundle £200 (200.00 GBP),False,086e011a-dca9-430f-b7f7-301572445738,matheus+explore@nexudus.com,2026-08-27T08:24:49.8775157Z,False,False
1415478546,,False,False,False,3,False,1421021016,Explore 2.0,False,False,2026-08-27T08:24:50.4243821Z,GBP,3005,,,Refundable office deposit,10,,1415063732,,False,,False,,Security Deposit - Office,,,False,False,1000.0,,,,False,,False,,False,False,,99,,[],1415143018,Security Deposit - Office (1000.00 GBP),False,f9140afa-f78a-4e84-85e8-5a98b3588e4e,matheus+explore@nexudus.com,2026-08-27T08:24:50.4243821Z,False,False
