Id,HistoryIndex
1417666647,1
1417666648,2
1417666649,3
1417667043,4
1417666650,5
1417667044,6
1417666666,7
1417667060,8
1417667061,9
1417666667,10
1417667229,11
1417667310,12
1417667230,13
1417667311,14
1417667312,15
1417667231,16
1417667313,17
1417667232,18
1417667233,19
1417667314,20
1417667315,21
1417667316,22
1417667234,23
1417667235,24
1417667317,25
1417667318,26
1417667319,27
1417667236,28
1417667320,29
1417667321,30
1417667237,31
1417667238,32
1417667322,33
1417667323,34
1417667239,35
1417667324,36
1417667325,37
1417667240,38
1417667241,39
1417667326,40
1417667327,41
1417667242,42
1417667243,43
1417667328,44
1417667329,45
1417667330,46
1417667244,47
1417667331,48
1417667245,49
1417667332,50
1417667333,51
1417667334,52
1417667246,53
1417667247,54
1417667248,55
1417667249,56
1417667335,57
1417667250,58
1417667251,59
1417667252,60
1417667336,61
1417667337,62
1417667253,63
1417667338,64
1417667254,65
1417667339,66
1417667340,67
1417667255,68
1417667256,69
1417667341,70
1417667257,71
1417667258,72
1417667342,73
1417667343,74
1417667259,75
1417667344,76
1417667260,77
1417667345,78
1417667261,79
1417667346,80
1417667262,81
1417667347,82
1417667348,83
1417667263,84
1417667264,85
1417667349,86
1417667350,87
