Id,AssignToType,BusinessId,BusinessName,ClearImageFile,CoworkerEndDates,CoworkerFullNames,CoworkerIds,CoworkerStartDates,CreatedOn,CustomFields,Description,FloorPlanDeskId,FloorPlanDeskName,ImageFileName,IsNew,LocalizationDetails,Name,NewImageUrl,ResourceId,ResourceName,Sku,SystemId,ToStringText,UniqueId,UpdatedBy,UpdatedOn,Value
212408,3,1421022733,MAIN_E2 (PARENT Location),False,,,,,2026-08-25T19:12:43.4642924Z,,,1415588341,Office Unit 01,,False,,Locker A-01,,,,,,Locker A-01,7e551c3c-40a8-4e15-8497-47534b8e6572,Olena+e2@nexudus.com,2026-08-25T19:12:43.4642924Z,0.0
212409,3,1421022733,MAIN_E2 (PARENT Location),False,,,,,2026-08-25T19:12:43.7767739Z,,,1415588237,Office Unit 02,,False,,Locker A-02,,,,,,Locker A-02,912424d3-983d-4f52-ac91-0b077da7faa9,Olena+e2@nexudus.com,2026-08-25T19:12:43.7767739Z,0.0
212410,3,1421022733,MAIN_E2 (PARENT Location),False,,,,,2026-08-25T19:12:44.1205406Z,,,1415588238,Office Unit 03,,False,,Locker A-03,,,,,,Locker A-03,5bb0a4b8-e472-4db6-a307-9afb1d46e9e3,Olena+e2@nexudus.com,2026-08-25T19:12:44.1205406Z,0.0
212411,3,1421022733,MAIN_E2 (PARENT Location),False,,,,,2026-08-25T19:12:44.464306Z,,,1415588342,Office Unit 04,,False,,Locker A-04,,,,,,Locker A-04,bc65b9e1-2d0e-49be-8380-14d368c5ebfe,Olena+e2@nexudus.com,2026-08-25T19:12:44.464306Z,0.0
212412,3,1421022733,MAIN_E2 (PARENT Location),False,,,,,2026-08-25T19:12:44.7618383Z,,,1415588343,Office Unit 05,,False,,Locker A-05,,,,,,Locker A-05,026855dc-13f8-40c8-bba0-bf2e99e7d9f3,Olena+e2@nexudus.com,2026-08-25T19:12:44.7618383Z,0.0
212506,3,1421022733,MAIN_E2 (PARENT Location),False,,,,,2026-08-25T19:12:45.053068Z,,,1415588344,Office Unit 06,,False,,Locker A-06,,,,,,Locker A-06,9ca33ad1-1b07-46d2-bcee-d20c9e804aec,Olena+e2@nexudus.com,2026-08-25T19:12:45.053068Z,0.0
212507,3,1421022733,MAIN_E2 (PARENT Location),False,,,,,2026-08-25T19:12:45.3968304Z,,,1415588239,Office Unit 07,,False,,Locker A-07,,,,,,Locker A-07,8e74014e-f394-4df2-822e-a922007e86f3,Olena+e2@nexudus.com,2026-08-25T19:12:45.3968304Z,0.0
212413,3,1421022733,MAIN_E2 (PARENT Location),False,,,,,2026-08-25T19:12:45.8093731Z,,,1415588240,Office Unit 08,,False,,Locker A-08,,,,,,Locker A-08,2aaca84c-0f68-4baa-92ed-5f8bef909eb2,Olena+e2@nexudus.com,2026-08-25T19:12:45.8093731Z,0.0
212508,2,1421022733,MAIN_E2 (PARENT Location),False,,,,,2026-08-25T19:12:46.1475231Z,,,,,,False,,"Monitor Dell 27"" #1",,1415381595,Boardroom Alpha,,,"Monitor Dell 27"" #1",848336d3-55cc-46af-ab93-68d0504c3a9e,Olena+e2@nexudus.com,2026-08-25T19:12:46.1475231Z,350.0
212509,2,1421022733,MAIN_E2 (PARENT Location),False,,,,,2026-08-25T19:12:46.4443687Z,,,,,,False,,"Monitor Dell 27"" #2",,1415381596,Meeting Room Beta,,,"Monitor Dell 27"" #2",54974c9c-4fe8-46d5-b7e8-eada6396305c,Olena+e2@nexudus.com,2026-08-25T19:12:46.4443687Z,350.0
212510,2,1421022733,MAIN_E2 (PARENT Location),False,,,,,2026-08-25T19:12:46.7412285Z,,,,,,False,,"Monitor Dell 27"" #3",,1415381597,Meeting Room Gamma,,,"Monitor Dell 27"" #3",76ad49f1-2495-498b-8209-6bd23cadf806,Olena+e2@nexudus.com,2026-08-25T19:12:46.7412285Z,350.0
212414,2,1421022733,MAIN_E2 (PARENT Location),False,,,,,2026-08-25T19:12:47.01249Z,,,,,,False,,Standing Desk Converter #1,,1415381598,Meeting Room Delta,,,Standing Desk Converter #1,b6066829-05bd-41b9-8688-c35e5cff6173,Olena+e2@nexudus.com,2026-08-25T19:12:47.01249Z,200.0
212415,2,1421022733,MAIN_E2 (PARENT Location),False,,,,,2026-08-25T19:12:47.2950788Z,,,,,,False,,Standing Desk Converter #2,,1415381599,Meeting Room Epsilon,,,Standing Desk Converter #2,38f7e50c-0c3f-44da-aa4c-43d8c8685f06,Olena+e2@nexudus.com,2026-08-25T19:12:47.2950788Z,200.0
212511,1,1421022733,MAIN_E2 (PARENT Location),False,,,,,2026-08-25T19:12:47.5776484Z,,,,,,False,,Webcam Logitech #1,,,,,,Webcam Logitech #1,76d7b364-acb6-4067-b67c-0272ee323d53,Olena+e2@nexudus.com,2026-08-25T19:12:47.5776484Z,80.0
212512,1,1421022733,MAIN_E2 (PARENT Location),False,,,,,2026-08-25T19:12:47.9064184Z,,,,,,False,,Webcam Logitech #2,,,,,,Webcam Logitech #2,5c2e977e-71fe-45a7-9fa8-2811b9987f55,Olena+e2@nexudus.com,2026-08-25T19:12:47.9064184Z,80.0
